Name,index,Fe,Mn,Si,Al,Mg,Ti,Cu,Cr,Zn,Sr,Refining,Manufacturing,Surface,Hippari,Tairyoku,Hiroh,Nobi,Shiobori,Fe_Mn_Ratio,Si_Mg_Ratio,Pred_Tairyoku,Pred_Nobi
1,2F14,0.1,0.45,0.57,94.04,0.41,0.02,4.4,0.0,0.01,0.0,5,1,0,410.0,355.0,350.0,17.27,52.2,0.22222221728395072,1.3902438685306373,363.6129900698528,14.980802925965044
2,7H146,0.33191220125786164,0.43028488993710695,4.777482704402515,91.93657823437499,0.9813954559748429,0.08869070754716982,1.0353166666666664,0.09192547169811321,0.36597606918238995,0.0012138364779874214,5,1,0,489.0,450.0,363.0,12.87,17.913653846153846,0.7713777576354084,4.868050515861035,447.6485129310347,12.47428493905349
3,7H146,0.33191220125786164,0.43028488993710695,4.777482704402515,91.93657823437499,0.9813954559748429,0.08869070754716982,1.0353166666666664,0.09192547169811321,0.36597606918238995,0.0012138364779874214,7,1,0,489.0,455.0,356.0,10.75,17.913653846153846,0.7713777576354084,4.868050515861035,451.84411637931044,12.229345569461017
12,A2014,0.0,0.8,0.8,93.5,0.5,0.0,4.4,0.0,0.0,0.0,5,1,1,441.98,394.94,405.0,14.3,11.6,0.0,1.5999999680000005,374.7630270035927,12.015575530247366
17,A2014,0.0,0.8,0.8,93.5,0.5,0.0,4.4,0.0,0.0,0.0,5,1,0,455.0,395.0,375.0,10.23,34.65,0.0,1.5999999680000005,363.0521955920045,12.451796171097383
22,A2014,0.0,0.8,0.8,93.5,0.5,0.0,4.4,0.0,0.0,0.0,3,1,0,463.0,289.0,319.72933333333333,24.81,17.913653846153846,0.0,1.5999999680000005,321.42513507812265,22.693291147420922
42,A2017,0.0,0.5,0.3,94.5,0.6,0.0,4.1,0.0,0.0,0.0,3,1,0,470.0,381.0,319.72933333333333,22.0,41.9,0.0,0.49999999166666675,372.7468683687003,22.725040246530686
43,A2024_A,0.0,0.6,0.0,93.4,1.5,0.0,4.5,0.0,0.0,0.0,5,1,0,460.0,345.0,319.72933333333333,14.2,17.913653846153846,0.0,0.0,378.3480675287358,14.15952018179456
44,A2024_B,0.0,0.6,0.0,93.4,1.5,0.0,4.5,0.0,0.0,0.0,5,1,0,455.0,335.0,319.72933333333333,17.0,17.913653846153846,0.0,0.0,342.82469827586215,14.681606222571775
45,A2024_C,0.0,0.6,0.0,93.4,1.5,0.0,4.5,0.0,0.0,0.0,5,1,0,458.0,334.0,319.72933333333333,17.9,17.913653846153846,0.0,0.0,345.66635057471274,14.678161515791004
57,A6061,0.7,0.15,0.8,96.0,1.2,0.15,0.4,0.35,0.25,0.0,5,1,0,338.884,302.722,319.72933333333333,19.4,17.913653846153846,4.666666355555576,0.6666666611111113,303.8077179879608,13.250318029008369
58,A6061,0.7,0.15,0.8,96.0,1.2,0.15,0.4,0.35,0.25,0.0,5,1,0,333.396,293.706,319.72933333333333,18.7,17.913653846153846,4.666666355555576,0.6666666611111113,300.2540808061911,13.250318029008369
78,A6061,0.7,0.15,0.8,96.0,1.2,0.15,0.4,0.35,0.25,0.0,5,1,0,344.0,329.0,319.72933333333333,10.22,17.913653846153846,4.666666355555576,0.6666666611111113,309.0432621287999,11.42894340305332
86,A6110,0.8,0.7,1.5,95.1,1.1,0.15,0.1,0.25,0.3,0.0,5,1,0,365.0,318.0,419.0,14.97,17.913653846153846,1.1428571265306124,1.3636363512396694,314.34995865628406,12.761515477830416
87,A6110,0.8,0.7,1.5,95.1,1.1,0.15,0.1,0.25,0.3,0.0,7,1,0,345.0,313.0,414.0,8.26,17.913653846153846,1.1428571265306124,1.3636363512396694,319.11994781731477,10.936406133769967
90,A6151,0.0,0.0,1.0,98.1,0.6,0.0,0.0,0.3,0.0,0.0,5,1,1,331.24,300.86,363.0,20.0,40.0,0.0,1.6666666388888893,300.627213804695,15.517718968848163
94,A6151,0.0,0.0,1.0,98.1,0.6,0.0,0.0,0.3,0.0,0.0,5,1,0,338.0,310.0,319.72933333333333,20.31,48.55,0.0,1.6666666388888893,304.86392037510456,15.712582766716647
95,A6151,0.0,0.0,1.0,98.1,0.6,0.0,0.0,0.3,0.0,0.0,5,1,0,340.0,312.0,319.72933333333333,4.6,17.913653846153846,0.0,1.6666666388888893,310.446300612516,10.650981889090593
96,A6151,0.0,0.0,1.0,98.1,0.6,0.0,0.0,0.3,0.0,0.0,5,1,0,341.0,315.0,319.72933333333333,10.7,17.913653846153846,0.0,1.6666666388888893,311.0781469666827,10.650981889090593
97,A6151,0.0,0.0,1.0,98.1,0.6,0.0,0.0,0.3,0.0,0.0,5,1,0,341.0,310.0,319.72933333333333,9.7,17.913653846153846,0.0,1.6666666388888893,309.2248346719372,10.586821537602374
102,A7075,0.0,0.0,0.0,89.7,2.6,0.0,1.7,0.3,5.7,0.0,6,1,1,586.04,539.98,368.0,7.6,17.913653846153846,0.0,0.0,536.4193103448274,10.690747980425355
105,A7075,0.0,0.0,0.0,89.7,2.6,0.0,1.7,0.3,5.7,0.0,5,1,0,568.0,503.0,335.0,11.0,17.913653846153846,0.0,0.0,509.1353663793103,10.228211759684509
106,A7075,0.0,0.0,0.0,89.7,2.6,0.0,1.7,0.3,5.7,0.0,7,1,0,568.0,512.0,353.0,9.36,17.913653846153846,0.0,0.0,513.1037068965517,10.386385188930358
108,A736,0.06,0.0,0.05,86.25,2.5,0.01,1.0,0.23,9.9,0.0,5,1,0,745.0,723.0,319.72933333333333,8.8,16.0,6000000.0,0.01999999992,705.4682112068964,10.016251513906655
109,A736,0.06,0.0,0.05,86.25,2.5,0.01,1.0,0.23,9.9,0.0,6,1,0,601.0,557.0,319.72933333333333,12.5,36.0,6000000.0,0.01999999992,548.1284698275862,13.092461231772829
110,A7475,0.0,0.0,0.0,90.6,2.2,0.0,1.4,0.2,5.6,0.0,6,1,0,483.0,403.0,282.0,15.12,17.913653846153846,0.0,0.0,434.11306034482766,11.67894276677513
111,A7475,0.0,0.0,0.0,90.6,2.2,0.0,1.4,0.2,5.6,0.0,6,1,0,486.0,397.0,319.72933333333333,14.21,17.913653846153846,0.0,0.0,443.7251077586208,11.524289454732916
